file,steps,zero_frac_norm,exact_zero_frac_norm,mean_norm,median_norm,p95_norm,mean_abs_norm,zero_frac_x,exact_zero_frac_x,mean_abs_x,std_x,min_x,max_x,zero_frac_y,exact_zero_frac_y,mean_abs_y,std_y,min_y,max_y,zero_frac_z,exact_zero_frac_z,mean_abs_z,std_z,min_z,max_z,zero_frac_w,exact_zero_frac_w,mean_abs_w,std_w,min_w,max_w,zero_frac_g,exact_zero_frac_g,mean_abs_g,std_g,min_g,max_g
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-11_18-20-39.tfrecord,749,0.2870493991989319,0.0013351134846461949,0.0018287389539182186,0.001096867024898529,0.006374820601195097,0.00042091752402484417,0.6702269692923899,0.0026702269692923898,0.0006618070183321834,0.0016067990800365806,-0.0002377927303314209,0.007644623517990112,0.7837116154873164,0.0026702269692923898,0.0004314485704526305,0.001280638505704701,-0.0029600560665130615,0.006728224456310272,0.2349799732977303,0.021361815754339118,0.0008911715704016387,0.0016415666323155165,-0.02660077065229416,0.005099296569824219,1.0,1.0,0.0,0.0,0.0,0.0,0.9959946595460614,0.9959946595460614,0.00012016020627925172,0.0018994834972545505,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-11_18-29-09.tfrecord,866,0.28868360277136257,0.0011547344110854503,0.0036829861346632242,0.0005437068175524473,0.008160045137628913,0.0007797603029757738,0.476905311778291,0.0023094688221709007,0.0011009576264768839,0.0024467394687235355,-0.007191076874732971,0.008545741438865662,0.7390300230946882,0.0023094688221709007,0.00022304120648186654,0.0006058344151824713,-0.0009128749370574951,0.0038662217557430267,0.48498845265588914,0.018475750577367205,0.0004554846091195941,0.0012774034403264523,-0.02660077065229416,0.00458797812461853,0.976905311778291,0.976905311778291,0.0020153915975242853,0.013144866563379765,-0.08726668357849121,0.08726644515991211,0.9965357967667436,0.9965357967667436,0.00010392608965048566,0.0017664051847532392,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-11_18-32-02.tfrecord,801,0.30087390761548066,0.0012484394506866417,0.006504121236503124,0.000916358083486557,0.0872664600610733,0.0013656648807227612,0.5068664169787765,0.003745318352059925,0.0007161916000768542,0.0014333545695990324,-0.0001526474952697754,0.007341325283050537,0.7415730337078652,0.0024968789013732834,0.0004659807891584933,0.0013888080138713121,-0.007260605692863464,0.002421081066131592,0.5006242197253433,0.04868913857677903,0.0007401287439279258,0.001672350219450891,-0.02660077065229416,0.005842730402946472,0.9450686641697877,0.9450686641697877,0.004793663043528795,0.020465804263949394,-0.08726668357849121,0.08726668357849121,0.9962546816479401,0.9962546816479401,0.00011235954298172146,0.0018367338925600052,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-11_18-35-09.tfrecord,544,0.30330882352941174,0.001838235294117647,0.002313225995749235,0.0009960620664060116,0.00976335369050503,0.000611806521192193,0.7169117647058824,0.003676470588235294,0.0009304629056714475,0.002173679182305932,-0.0019106268882751465,0.008118003606796265,0.44485294117647056,0.003676470588235294,0.0012116841971874237,0.0020530244801193476,-0.0006881058216094971,0.007805198431015015,0.3694852941176471,0.04963235294117647,0.0008065910660661757,0.001766543835401535,-0.02660077065229416,0.005696624517440796,1.0,1.0,0.0,0.0,0.0,0.0,0.9963235294117647,0.9963235294117647,0.00011029411689378321,0.0018206913955509663,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-11_18-36-11.tfrecord,1508,0.14920424403183025,0.000663129973474801,0.004799215123057365,0.0014557581162080169,0.009482084587216376,0.001107286661863327,0.2546419098143236,0.001326259946949602,0.0011687985388562083,0.0019158637151122093,-0.004419922828674316,0.007311463356018066,0.29442970822281167,0.001326259946949602,0.0009844828164204955,0.0017171910731121898,-0.0034758150577545166,0.00800497829914093,0.4907161803713528,0.010610079575596816,0.000505972420796752,0.001163091161288321,-0.02660077065229416,0.004762426018714905,0.9681697612732095,0.9681697612732095,0.0027777121867984533,0.015570493414998055,-0.08726668357849121,0.08726668357849121,0.996684350132626,0.996684350132626,9.946949285222217e-05,0.001727917231619358,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-11_18-38-01.tfrecord,854,0.16744730679156908,0.00117096018735363,0.01061182003468275,0.0017219926230609417,0.08726986572146415,0.0024223143700510263,0.30210772833723654,0.00234192037470726,0.0012837137328460813,0.0022428676020354033,-0.007268041372299194,0.007553994655609131,0.43911007025761123,0.00234192037470726,0.0015168489189818501,0.0028201297391206026,-0.005630046129226685,0.008604228496551514,0.3957845433255269,0.0234192037470726,0.0008264069329015911,0.0018278653733432293,-0.02660077065229416,0.009276479482650757,0.9039812646370023,0.9039812646370023,0.008379215374588966,0.02705005370080471,-0.08726668357849121,0.08726668357849121,0.9964871194379391,0.9964871194379391,0.00010538641072344035,0.0017787802498787642,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-11_18-40-13.tfrecord,705,0.26099290780141843,0.0014184397163120568,0.007317441049963236,0.0010635703802108765,0.08726737797260284,0.0016046290984377265,0.5191489361702127,0.0028368794326241137,0.0006186589016579092,0.0011375576723366976,-0.0026665329933166504,0.004469484090805054,0.26382978723404255,0.0028368794326241137,0.0014030816964805126,0.0026726825162768364,-0.005938000977039337,0.008653700351715088,0.4269503546099291,0.02269503546099291,0.0006748934392817318,0.0015257446793839335,-0.02660077065229416,0.004569068551063538,0.9404255319148936,0.9404255319148936,0.0051988521590828896,0.021313559263944626,-0.08726644515991211,0.08726644515991211,0.9957446808510638,0.9957446808510638,0.00012765957217197865,0.001957917120307684,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_13-05-13.tfrecord,844,0.14928909952606634,0.001184834123222749,0.002197111723944545,0.0014443544205278158,0.007116467342711981,0.0005663132178597152,0.49644549763033174,0.002369668246445498,0.0005802910891361535,0.0011972046922892332,-0.004417449235916138,0.004480334930121899,0.2109004739336493,0.002369668246445498,0.0014565701130777597,0.002273538848385215,-0.00693105161190033,0.007860004901885986,0.34834123222748814,0.018957345971563982,0.000616979377809912,0.0013826118083670735,-0.02660077065229416,0.004792302846908569,1.0,1.0,0.0,0.0,0.0,0.0,0.9940758293838863,0.9940758293838863,0.00017772510182112455,0.0023101510014384985,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_13-06-15.tfrecord,499,0.2625250501002004,0.002004008016032064,0.0022181710228323936,0.0011955930385738611,0.0072947129141539314,0.0005623698816634715,0.5450901803607214,0.004008016032064128,0.00048018989036791027,0.0010512657463550568,-0.004553936421871185,0.0027046576142311096,0.4288577154308617,0.004008016032064128,0.0011761506320908666,0.0020937188528478146,-0.00031691789627075195,0.007888197898864746,0.24849699398797595,0.03206412825651302,0.0009751477045938373,0.001879264833405614,-0.02660077065229416,0.005072697997093201,1.0,1.0,0.0,0.0,0.0,0.0,0.9939879759519038,0.9939879759519038,0.0001803607156034559,0.0023276780266314745,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_13-07-20.tfrecord,719,0.1571627260083449,0.0013908205841446453,0.006186455953866243,0.001222767517901957,0.03003228288143873,0.0013529338175430894,0.3949930458970793,0.0027816411682892906,0.0006218142807483673,0.0011822936357930303,-0.005763202905654907,0.0021621733903884888,0.45897079276773295,0.0027816411682892906,0.0010421865154057741,0.002199595095589757,-0.002605956047773361,0.008404463529586792,0.3810848400556328,0.022253129346314324,0.0007274743402376771,0.0015661981888115406,-0.02660077065229416,0.004566773772239685,0.9513212795549374,0.9513212795549374,0.004248019773513079,0.019266735762357712,-0.08726668357849121,0.08726668357849121,0.9958275382475661,0.9958275382475661,0.00012517384311649948,0.0019387343199923635,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-03-53.tfrecord,455,0.1912087912087912,0.002197802197802198,0.0029073143377900124,0.0014658072032034397,0.010026924032717942,0.000790485879406333,0.44395604395604393,0.004395604395604396,0.0013104872778058052,0.0021812915802001953,-0.007382005453109741,0.0017587095499038696,0.44395604395604393,0.004395604395604396,0.0013880172045901418,0.002584008267149329,-0.008331745862960815,0.0021051522344350815,0.18021978021978022,0.035164835164835165,0.0010561221279203892,0.0019444302888587117,-0.02660077065229416,0.004979580640792847,1.0,1.0,0.0,0.0,0.0,0.0,0.9934065934065934,0.9934065934065934,0.00019780219008680433,0.002437783870846033,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-05-24.tfrecord,728,0.27884615384615385,0.0013736263736263737,0.0026103907730430365,0.0005776816979050636,0.009311218652874228,0.0006220779614523053,0.6098901098901099,0.0027472527472527475,0.0005739249172620475,0.0015862950822338462,-0.007715880870819092,0.0005928464233875275,0.6538461538461539,0.0027472527472527475,0.0005295416922308505,0.0015596915036439896,-0.007705330848693848,0.0009133629500865936,0.29120879120879123,0.020604395604395604,0.0006845816387794912,0.0014861455420032144,-0.02660077065229416,0.005134761333465576,0.9862637362637363,0.9862637362637363,0.001198714948259294,0.010189605876803398,-0.08726644515991211,0.08726644515991211,0.9958791208791209,0.9958791208791209,0.0001236263633472845,0.0019267033785581589,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-06-15.tfrecord,751,0.2569906790945406,0.0013315579227696406,0.00680228928104043,0.0007193580968305469,0.08726652339100838,0.0015076614217832685,0.474034620505992,0.002663115845539281,0.0010746110929176211,0.002322935964912176,-0.00844457745552063,0.003727031871676445,0.625832223701731,0.002663115845539281,0.0008014567429199815,0.001965759787708521,-0.008282661437988281,0.0026863403618335724,0.3422103861517976,0.02130492676431425,0.000661984842736274,0.0014837691560387611,-0.02660077065229416,0.004415631294250488,0.9440745672436751,0.9440745672436751,0.004880414344370365,0.020651016384363174,-0.08726668357849121,0.08726668357849121,0.996005326231691,0.996005326231691,0.00011984020966337994,0.0018969463417306542,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-07-43.tfrecord,523,0.19694072657743786,0.0019120458891013384,0.0027179180178791285,0.0014568169135600328,0.009968334063887595,0.0007601553807035089,0.3173996175908222,0.0038240917782026767,0.0017415645997971296,0.0029962831176817417,-0.008612245321273804,0.002719089388847351,0.32122370936902483,0.0038240917782026767,0.0012757988879457116,0.002088717883452773,-0.00773128867149353,0.0016739033162593842,0.32122370936902483,0.030592734225621414,0.0006113285780884326,0.0015482507878914475,-0.02660077065229416,0.00415077805519104,1.0,1.0,0.0,0.0,0.0,0.0,0.994263862332696,0.994263862332696,0.00017208412464242429,0.0022735686507076025,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-12-09.tfrecord,459,0.18082788671023964,0.002178649237472767,0.0025198529474437237,0.0011591537622734904,0.008188255596905945,0.0006387524772435427,0.5010893246187363,0.004357298474945534,0.0005514567019417882,0.0009521362371742725,-0.003251969814300537,0.0024734381586313248,0.5228758169934641,0.004357298474945534,0.001559681724756956,0.0028303242288529873,-0.00846138596534729,0.0029395930469036102,0.16993464052287582,0.034858387799564274,0.00088654545834288,0.001768956775777042,-0.02660077065229416,0.004428833723068237,1.0,1.0,0.0,0.0,0.0,0.0,0.9934640522875817,0.9934640522875817,0.0001960784284165129,0.0024271192960441113,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-14-12.tfrecord,1274,0.11616954474097331,0.0007849293563579278,0.003981819376349449,0.000980404089204967,0.0061510681640356765,0.0009107623482123017,0.3540031397174254,0.0015698587127158557,0.0006154372240416706,0.0010184498969465494,-0.003975436091423035,0.0035194549709558487,0.39324960753532184,0.002354788069073783,0.0007644406869076192,0.0014310538535937667,-0.006548278033733368,0.002411454916000366,0.32967032967032966,0.012558869701726845,0.0006587639800272882,0.0013757854467257857,-0.02660077065229416,0.005838543176651001,0.9725274725274725,0.9725274725274725,0.002397429896518588,0.014469676651060581,-0.08726644515991211,0.08726644515991211,0.9960753532182104,0.9960753532182104,0.0001177393933176063,0.0018799910321831703,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-15-26.tfrecord,601,0.23128119800332778,0.0016638935108153079,0.00731107359752059,0.0011665968922898173,0.0872664600610733,0.001562158577144146,0.7371048252911814,0.0033277870216306157,0.00019018349121324718,0.000491877319291234,-0.0024260850623250008,0.0021138619631528854,0.6039933444259568,0.0033277870216306157,0.0012180374469608068,0.0025853870902210474,-0.008529365062713623,0.0024364888668060303,0.24958402662229617,0.026622296173044926,0.0010255470406264067,0.00191984954290092,-0.02660077065229416,0.0058779120445251465,0.940099833610649,0.940099833610649,0.005227275192737579,0.021375831216573715,-0.08726668357849121,0.08726668357849121,0.9950083194675541,0.9950083194675541,0.00014975041267462075,0.00212073209695518,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-16-19.tfrecord,537,0.12476722532588454,0.00186219739292365,0.003244792576879263,0.0019790055230259895,0.008274312503635884,0.0008906383300200105,0.4338919925512104,0.0037243947858473,0.0010158775839954615,0.0017826586263254285,-0.005644738674163818,0.004558000713586807,0.3426443202979516,0.0037243947858473,0.0019616938661783934,0.003149471478536725,-0.008418828248977661,0.006750322878360748,0.11731843575418995,0.0297951582867784,0.0013080222997814417,0.0022145132534205914,-0.02660077065229416,0.006350919604301453,1.0,1.0,0.0,0.0,0.0,0.0,0.994413407821229,0.994413407821229,0.00016759775462560356,0.0022436988074332476,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-21-40.tfrecord,402,0.21393034825870647,0.0024875621890547263,0.0026302607730031013,0.0006818257970735431,0.01038530496880412,0.0007407147204503417,0.4900497512437811,0.004975124378109453,0.0010512849548831582,0.0022219994571059942,-0.00038592424243688583,0.007976919412612915,0.32338308457711445,0.004975124378109453,0.001579619711264968,0.00239195697940886,-0.007878720760345459,0.0006212592124938965,0.27114427860696516,0.03980099502487562,0.0008487880113534629,0.001823793281801045,-0.02660077065229416,0.005004808306694031,1.0,1.0,0.0,0.0,0.0,0.0,0.9925373134328358,0.9925373134328358,0.0002238805900560692,0.0025937610771507025,-0.029999999329447746,0.029999999329447746
/root/repo/cdpr_synth_10hz/libero_spatial_no_noops/tfrecords_human_control_fixed/libero_spatial_no_noops-train-HUMAN_CONTROL_desk__ycb_apple_wrapper__localpatched_teleop_2026-01-12_14-23-24.tfrecord,586,0.24573378839590443,0.0017064846416382253,0.0088778892531991,0.0010341774905100465,0.0872693695127964,0.0019334597745910287,0.6092150170648464,0.0034129692832764505,0.0006892408127896488,0.0015657220501452684,-0.0014773309230804443,0.007095649838447571,0.4061433447098976,0.0034129692832764505,0.0016010989202186465,0.0029654912650585175,-0.008549690246582031,0.004767473787069321,0.4112627986348123,0.027303754266211604,0.0006709453882649541,0.0015652773436158895,-0.02660077065229416,0.0040910691022872925,0.9249146757679181,0.9249146757679181,0.006552430335432291,0.023931073024868965,-0.08726668357849121,0.08726668357849121,0.9948805460750854,0.9948805460750854,0.000153583605424501,0.0021477334666997194,-0.029999999329447746,0.029999999329447746
